               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08532,            0.042214,            0.053568,             0.37616,             0.11696,            0.045656,            0.014002,            0.053516,            0.025319,            0.046431,             0.00054,             0.00054,             0.09514
                   1,            0.054859,             0.04067,            0.043452,             0.18013,             0.42086,             0.20788,             0.10703,            0.038795,             0.01913,            0.042352,             0.00109,             0.00109,             0.09019
                   2,            0.048991,            0.036558,            0.034279,             0.45321,              0.3898,             0.32219,             0.16451,            0.040225,            0.017622,            0.027919,           0.0016398,           0.0016398,             0.08524
                   3,            0.047966,            0.034364,            0.022693,             0.57311,               0.497,              0.4902,             0.28484,            0.034646,            0.015418,            0.017369,           0.0021895,           0.0021895,             0.08029
                   4,             0.04662,            0.032597,            0.016462,             0.60612,             0.54007,             0.49337,             0.25843,            0.038984,            0.015215,            0.011866,           0.0027389,           0.0027389,            0.075339
                   5,            0.044306,             0.03116,            0.013813,             0.68313,             0.66136,             0.66335,             0.40447,            0.031899,            0.015799,           0.0082894,            0.003288,            0.003288,            0.070388
                   6,            0.041921,            0.030563,            0.012144,             0.55617,             0.61642,             0.57498,              0.3383,            0.031359,            0.015535,             0.01478,           0.0038366,           0.0038366,            0.065437
                   7,            0.040513,             0.02994,             0.01102,             0.72826,             0.66599,             0.70873,             0.43136,            0.028927,            0.013803,           0.0066853,           0.0043847,           0.0043847,            0.060485
                   8,            0.039661,            0.029826,           0.0095892,             0.48582,             0.68587,             0.60103,             0.34704,            0.030029,            0.016176,            0.012684,           0.0049322,           0.0049322,            0.055532
                   9,            0.038686,            0.029276,           0.0092094,             0.58886,             0.71589,             0.67759,             0.42683,            0.028528,            0.014462,           0.0083459,            0.005479,            0.005479,            0.050579
